epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.066,1.65947,2.22544,1.50674,0.40003,0.23728,0.2299,0.1011,2.0964,2.48678,1.7731,0.0670565,0.000332763,0.000332763
2,259.167,1.67317,2.03183,1.53226,0.50063,0.29744,0.34429,0.18361,1.76982,2.05034,1.49198,0.0340483,0.000657853,0.000657853
3,389.645,1.66377,2.00891,1.54169,0.49761,0.35995,0.38053,0.18858,1.80602,1.89665,1.54113,0.00103177,0.000974693,0.000974693
4,515.317,1.64817,1.96272,1.52224,0.51694,0.41116,0.41731,0.22221,1.73661,1.67836,1.48345,0.000962875,0.000962875,0.000962875
5,640.345,1.62405,1.90221,1.50352,0.54437,0.40437,0.43729,0.21966,1.74794,1.66631,1.46519,0.0009505,0.0009505,0.0009505
6,766.425,1.59792,1.85092,1.49121,0.60084,0.40902,0.46003,0.25174,1.6899,1.59029,1.42307,0.000938125,0.000938125,0.000938125
7,892.56,1.58034,1.80402,1.46996,0.56223,0.43122,0.46018,0.24742,1.66502,1.54083,1.41994,0.00092575,0.00092575,0.00092575
8,1020.18,1.56457,1.78307,1.46705,0.58379,0.43272,0.47046,0.26767,1.63087,1.54637,1.38815,0.000913375,0.000913375,0.000913375
9,1143.78,1.55281,1.75291,1.45183,0.59906,0.43889,0.48829,0.27245,1.62905,1.51373,1.38182,0.000901,0.000901,0.000901
10,1269.77,1.5473,1.72936,1.44513,0.66126,0.43901,0.50504,0.27977,1.59523,1.52059,1.37734,0.000888625,0.000888625,0.000888625
11,1386.87,1.51413,1.68135,1.42831,0.56017,0.45734,0.49265,0.29392,1.49837,1.47989,1.32825,0.00087625,0.00087625,0.00087625
12,1500.92,1.51085,1.68441,1.42472,0.64811,0.45044,0.51166,0.30933,1.4777,1.42881,1.31003,0.000863875,0.000863875,0.000863875
13,1615.09,1.50641,1.65844,1.42183,0.5989,0.47088,0.50506,0.30537,1.49419,1.39467,1.30402,0.0008515,0.0008515,0.0008515
14,1728.92,1.49824,1.6442,1.41197,0.62553,0.4799,0.53074,0.31531,1.47447,1.38962,1.3039,0.000839125,0.000839125,0.000839125
15,1842.46,1.49165,1.62891,1.40686,0.64225,0.47492,0.52664,0.32003,1.46325,1.35166,1.28269,0.00082675,0.00082675,0.00082675
16,1956.76,1.47971,1.61675,1.3978,0.63855,0.47233,0.51975,0.3151,1.44215,1.33452,1.2736,0.000814375,0.000814375,0.000814375
17,2070.69,1.46698,1.58983,1.39322,0.65062,0.48541,0.53997,0.32959,1.43785,1.30586,1.27678,0.000802,0.000802,0.000802
18,2184.71,1.4614,1.58028,1.39108,0.64604,0.48317,0.54986,0.3369,1.45596,1.3044,1.27811,0.000789625,0.000789625,0.000789625
19,2298.39,1.4526,1.5667,1.38059,0.63384,0.48841,0.54254,0.32903,1.44721,1.30957,1.27305,0.00077725,0.00077725,0.00077725
20,2412.14,1.44449,1.54814,1.38111,0.64452,0.50812,0.56164,0.34408,1.4323,1.28926,1.27096,0.000764875,0.000764875,0.000764875
